Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;235.518.032;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;13;22;35;10;0;3;22;31;0;0;0;1;0;0;0;0;3
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;235.517.935;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;27;13;40;12;0;13;15;33;0;0;0;0;0;0;0;0;7
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;235.517.992;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;13;27;40;14;0;4;22;36;0;0;0;1;0;0;0;0;3
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.904;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância);Integral;5;18;23;0;0;0;0;22;0;0;0;0;0;0;1;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.672;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância);Integral;8;29;37;0;0;0;0;35;0;0;0;0;0;0;2;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.805;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância);Integral;5;19;24;0;0;0;0;26;0;0;0;0;0;0;2;4;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.748;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Etim);Integral;13;24;37;0;0;0;0;35;0;0;0;0;0;0;3;1;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.573;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Etim);Integral;12;28;40;0;0;0;0;37;0;0;0;0;0;0;3;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;234.489.862;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Etim);Integral;7;23;30;0;0;0;0;30;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.065;1º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;21;19;40;0;0;15;25;37;0;0;0;2;0;1;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.214;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;24;12;36;0;0;14;22;30;0;0;0;0;0;4;0;0;2
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.099;1º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;13;27;40;0;0;28;12;35;0;0;0;0;0;2;0;0;3
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.297;3º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;12;23;35;1;0;15;19;31;0;0;0;0;0;4;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.313;3º Módulo;Técnico;Gestão e Negócios;Gestão;Logística;Noite;13;16;29;0;0;9;20;27;0;0;0;1;0;0;0;0;1
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.198;1º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;28;12;40;14;0;0;26;35;0;0;0;1;0;3;0;0;1
